Name, Power, Strength, Magic, Intelligence, Speed, Defense, Poison, Rage, Corrupted, Evilness, Age, Personality, Hometown, Favorite_Color, Weakness, Height, Weight, isVillain, isLiving, isEmployed, isHuman
Ms Shadow, 36, 41, 16, 56, 71, 46, 37, 42, 79, 26, 18.00, Cruel, Ho Chi Minh City, 0xb8ebcc, Magic vulnerable, 3' 5'', 264.54528, False, False, False, True
Human Entity, 26, 32, 31, 80, 19, 9, 52, 84, 41, 16, 30.58, Manipulative, Delhi, 0x11fc3d, Vengeful, 18' 7'', 168.79573, False, False, True, True
Omega Crusader, 43, 41, 19, 34, 3, 57, 99, 87, 86, 98, 25.03, Power hungry, Shenzhen, 0xfe6de5, Sound sensitive, 16' 9'', 245.36753, False, False, True, False
Incredible Surfer, 49, 1, 56, 75, 66, 65, 37, 84, 89, 86, 45.17, Stoic, Mexico City, 0x5e9718, Vengeful, 19' 1'', 235.13078, True, False, True, True
Crimson Man, 76, 70, 10, 24, 22, 36, 40, 100, 45, 95, 44.77, Obsessive, Delhi, 0x74267f, Fire weakness, 6' 5'', 26.27085, True, False, False, True
Professor Knight, 77, 44, 62, 9, 78, 97, 44, 67, 66, 9, 475.99, Brave, Hong Kong, 0xbf088c, Lonely, 8' 9'', 176.19312, True, True, True, True
Masked Master, 94, 65, 56, 38, 39, 27, 53, 14, 60, 26, 47.30, Cruel, Barcelona, 0x63b56a, Darkness bound, 18' 3'', 58.90075, True, False, True, True
Mr Claw, 84, 70, 16, 53, 20, 95, 18, 36, 34, 36, 35.12, Charismatic, Denver, 0xda658e, Ice weakness, 20' 7'', 157.79068, True, False, False, False
Super Master, 12, 77, 23, 58, 51, 27, 19, 8, 90, 88, 39.96, Protective, Dongguan, 0xfd32ea, Impulsive, 12' 2'', 33.68190, False, False, False, False
The Woman, 64, 78, 87, 29, 11, 29, 45, 63, 30, 51, 51.48, Charismatic, Paris, 0x1cad05, Stubborn, 1' 1'', 109.87421, False, False, True, True
Incredible Torch, 90, 64, 2, 67, 52, 66, 14, 79, 44, 76, 53.78, Clever, Mumbai, 0x0d2d08, Radiation weak, 20' 6'', 146.21843, True, True, False, False
Silver Lightning, 18, 92, 10, 71, 71, 6, 89, 87, 13, 81, 19.85, Sarcastic, Baghdad, 0x87dd0d, Soft hearted, 16' 8'', 209.28954, True, False, False, True
Power Surfer, 19, 80, 75, 14, 38, 73, 9, 60, 4, 76, 18.00, Sarcastic, Tianjin, 0x126fd4, Prideful, 7' 4'', 145.41046, True, False, True, False
Mr Knight, 45, 72, 46, 19, 50, 44, 59, 53, 49, 77, 53.03, Loyal, Bangalore, 0x2fb366, Silver weakness, 14' 11'', 81.06373, False, True, True, False
Ancient Lightning, 36, 68, 12, 15, 91, 93, 65, 87, 39, 35, 18.00, Cruel, Columbus, 0x20bdf6, Sound sensitive, 12' 5'', 293.11906, True, False, True, False
Silver Darkness, 38, 67, 82, 98, 37, 28, 38, 47, 69, 72, 18.00, Cold blooded, Barcelona, 0x3691a7, Radiation weak, 11' 11'', 27.11450, True, False, False, True
Iron Crusader, 18, 56, 99, 17, 81, 15, 83, 5, 50, 42, 60.06, Ruthless, Moscow, 0x600311, Hotheaded, 19' 2'', 192.55439, True, False, False, True
Incredible Knight, 98, 22, 53, 22, 95, 77, 67, 91, 18, 5, 32.03, Sadistic, Dhaka, 0xa3e54e, Soft hearted, 1' 9'', 182.39471, False, True, False, True
Silver Man, 79, 7, 26, 92, 13, 58, 42, 91, 48, 40, 21.49, Clever, Dhaka, 0x4a602d, Stubborn, 16' 11'', 141.02989, False, False, True, True
Radioactive Soldier, 91, 28, 82, 99, 50, 47, 88, 75, 57, 37, 31.86, Arrogant, Surat, 0x295532, Soft hearted, 3' 8'', 271.54187, False, False, True, False
Ms Phantom, 75, 33, 45, 70, 17, 47, 83, 79, 5, 7, 36.27, Obsessive, Seattle, 0x6bb75d, Prideful, 13' 6'', 134.05334, True, False, False, True
Spider Centurion, 100, 29, 44, 13, 65, 9, 91, 90, 90, 49, 22.09, Determined, Shanghai, 0x95abfc, Energy drain, 12' 10'', 56.70178, False, True, False, True
Power Torch, 28, 65, 3, 45, 24, 1, 7, 78, 78, 77, 53.11, Loyal, Manila, 0x3fb54f, Radiation weak, 10' 9'', 17.77184, False, True, False, True
The Surfer, 27, 55, 70, 55, 0, 8, 1, 80, 2, 76, 26.54, Cold blooded, Paris, 0x2bb7ab, Vengeful, 2' 6'', 240.04200, False, False, False, True
Spider X, 58, 17, 0, 1, 78, 93, 87, 5, 34, 84, 18.00, Obsessive, Columbus, 0x73fce8, Ice weakness, 2' 10'', 117.08368, False, False, True, True
Silver Claw, 13, 74, 1, 11, 5, 27, 100, 68, 63, 83, 28.59, Honorable, Hong Kong, 0xb1722c, Energy drain, 14' 2'', 121.26270, False, True, True, True
Omega Knight, 53, 83, 0, 33, 64, 61, 81, 87, 44, 63, 53.46, Cold blooded, Kuala Lumpur, 0x37ac60, Radiation weak, 17' 2'', 228.10941, False, False, False, True
Master Warrior, 81, 26, 49, 21, 69, 87, 21, 80, 76, 2, 39.94, Arrogant, Istanbul, 0xafb99c, Poison susceptible, 19' 10'', 237.50707, True, True, True, False
Captain Centurion, 51, 4, 46, 57, 23, 53, 89, 30, 63, 87, 28.68, Arrogant, Philadelphia, 0xaee7a8, Naive, 10' 10'', 87.03413, True, True, True, True
Human Lightning, 9, 87, 0, 82, 14, 35, 43, 11, 72, 16, 44.12, Loyal, Cape Town, 0x562b98, Paranoid, 8' 1'', 218.09394, True, True, True, True
Ms Boy, 84, 85, 56, 40, 46, 72, 45, 10, 17, 6, 32.13, Determined, Dongguan, 0x9801a3, Water weakness, 11' 6'', 147.75992, True, True, False, True
Metal Darkness, 31, 1, 66, 92, 92, 29, 7, 15, 9, 53, 53.69, Ruthless, Buenos Aires, 0x751f38, Obsessive, 20' 10'', 137.81417, True, False, False, False
Wonder Phantom, 0, 19, 74, 46, 94, 86, 41, 96, 8, 13, 18.00, Power hungry, Philadelphia, 0x61f491, Impulsive, 10' 7'', 31.17767, False, True, False, True
Spider Daredevil, 15, 28, 68, 68, 68, 1, 11, 95, 99, 54, 41.56, Cunning, Istanbul, 0xef3ba8, Fire weakness, 10' 10'', 65.96820, False, True, True, True
Crimson Machine, 89, 92, 51, 31, 34, 18, 64, 90, 48, 72, 33.74, Charismatic, Seattle, 0xe9289b, Prideful, 13' 6'', 251.49513, False, True, False, False
Wonder Darkness, 81, 59, 43, 98, 74, 5, 99, 39, 3, 25, 28.38, Arrogant, Shenzhen, 0x9dcded, Naive, 11' 9'', 270.89094, True, False, False, False
Mr Void, 5, 26, 98, 59, 87, 29, 25, 93, 39, 36, 38.82, Calculating, Bangkok, 0x744c1a, Overconfident, 11' 10'', 170.33316, False, False, True, False
Professor X, 33, 24, 79, 79, 81, 97, 25, 56, 62, 59, 43.97, Cold blooded, Seattle, 0x52ac33, Silver weakness, 20' 10'', 294.24797, False, False, True, False
Power X, 69, 7, 63, 59, 12, 62, 38, 28, 74, 91, 18.00, Stoic, San Francisco, 0x3c4c3d, Obsessive, 0' 9'', 46.14695, True, True, False, True
Wonder Warrior, 36, 91, 7, 47, 53, 67, 73, 20, 40, 39, 40.31, Vengeful, Cairo, 0x3f82f8, Soft hearted, 13' 3'', 202.49713, True, True, False, True
Omega Darkness, 46, 88, 9, 90, 88, 10, 94, 8, 76, 74, 18.60, Compassionate, Kano, 0x0704a3, Hotheaded, 11' 0'', 12.03886, True, True, True, True
Crimson Daredevil, 95, 51, 96, 30, 58, 56, 19, 10, 35, 24, 39.44, Honorable, Ankara, 0xcddb34, Electric weakness, 6' 4'', 212.56259, False, True, False, True
Super Warrior, 9, 82, 74, 17, 31, 28, 53, 42, 57, 78, 44.53, Sadistic, Mumbai, 0x08da04, Reckless, 17' 6'', 98.08863, True, True, False, True
Green Machine, 90, 95, 89, 16, 71, 48, 44, 96, 21, 85, 59.33, Charismatic, Charlotte, 0x09ac03, Energy drain, 11' 1'', 71.90894, True, True, False, False
Green Woman, 39, 25, 87, 100, 18, 4, 41, 50, 55, 72, 30.94, Arrogant, Toronto, 0xe31d41, Trusting, 1' 5'', 40.64792, False, True, True, False
Human Machine, 87, 87, 64, 62, 71, 65, 86, 81, 15, 32, 37.28, Sarcastic, Luanda, 0x9160bb, Power addicted, 14' 7'', 193.05932, True, True, False, False
Captain Soldier, 28, 37, 71, 89, 49, 48, 84, 46, 16, 89, 24.79, Protective, Santiago, 0x9ba9a5, Naive, 5' 4'', 76.29973, True, False, True, True
Metal Man, 91, 48, 50, 6, 73, 30, 50, 72, 39, 19, 43.36, Honorable, Tehran, 0x473276, Fire weakness, 11' 4'', 93.13914, False, False, False, False
Radioactive Knight, 85, 59, 70, 49, 20, 28, 58, 57, 21, 21, 31.11, Honorable, Buenos Aires, 0x8d4465, Silver weakness, 7' 8'', 163.77771, False, False, True, False
Doctor Skull, 4, 69, 89, 45, 13, 86, 91, 68, 53, 40, 20.92, Manipulative, Bangalore, 0x22c5e3, Obsessive, 18' 9'', 207.65307, False, True, False, False
Ancient Phantom, 47, 74, 13, 88, 49, 98, 40, 77, 73, 81, 28.95, Calculating, Shenzhen, 0xdbb1f2, Prideful, 5' 9'', 33.80399, True, True, False, True
Omega Ghost, 4, 35, 38, 61, 13, 35, 2, 11, 33, 8, 42.16, Compassionate, Bangkok, 0x8ceed6, Light sensitive, 8' 8'', 43.68390, True, False, False, False
Master Girl, 84, 57, 14, 59, 98, 3, 84, 40, 76, 96, 9366.72, Arrogant, Tokyo, 0x758b65, Egotistical, 9' 3'', 200.22856, False, False, True, True
Invisible Void, 44, 85, 34, 60, 80, 90, 70, 34, 51, 57, 27.80, Reckless, Toronto, 0x521690, Short sighted, 14' 0'', 19.59383, True, True, True, True
Spider Woman, 63, 76, 69, 67, 19, 73, 1, 86, 68, 18, 25.11, Obsessive, Cape Town, 0xf6187f, Soft hearted, 12' 10'', 174.58496, True, False, True, False
Ancient Fist, 83, 6, 72, 47, 57, 43, 54, 53, 22, 59, 64.77, Power hungry, Paris, 0xb69a0b, Prideful, 12' 10'', 100.58429, True, False, True, True
Master Knight, 98, 90, 21, 44, 26, 35, 16, 39, 28, 96, 8241.84, Clever, Chongqing, 0x3483a4, Electric weakness, 10' 4'', 285.42409, True, True, False, True
Spider Skull, 51, 59, 73, 85, 56, 100, 55, 56, 77, 73, 40.96, Arrogant, Lagos, 0xef90e3, Hubris, 15' 5'', 181.29614, True, True, True, True
Ms Soldier, 39, 33, 25, 1, 68, 19, 86, 9, 74, 72, 32.38, Determined, Yangon, 0x92ab35, Naive, 10' 4'', 245.65355, False, True, False, False
Rocket Crusader, 48, 34, 63, 22, 64, 70, 98, 35, 94, 71, 27.40, Cold blooded, Abidjan, 0x3532dc, Hubris, 19' 2'', 1.97883, False, True, True, True
Metal Hulk, 41, 38, 37, 100, 39, 71, 0, 0, 47, 1, 70.79, Compassionate, Johannesburg, 0xa9a447, Egotistical, 16' 0'', 221.15553, True, False, False, True
Power Cloak, 76, 0, 8, 94, 34, 12, 81, 26, 95, 54, 32.10, Vengeful, Luanda, 0x33e91f, Short sighted, 15' 1'', 277.59263, False, True, True, False
Impossible Darkness, 74, 38, 91, 24, 7, 90, 4, 55, 82, 4, 28.27, Stoic, Columbus, 0x200940, Egotistical, 8' 11'', 133.94217, False, False, False, True
The Machine, 7, 40, 56, 24, 47, 75, 85, 0, 22, 53, 48.53, Honorable, Lima, 0xfbd782, Poison susceptible, 10' 4'', 226.88845, False, False, True, False
Masked Woman, 34, 59, 55, 26, 58, 4, 74, 7, 46, 99, 18.00, Honorable, Seoul, 0x60526c, Prideful, 4' 0'', 63.28061, False, True, False, False
Master Surfer, 54, 42, 0, 64, 84, 24, 11, 17, 88, 89, 68.56, Clever, Bangalore, 0x43a56f, Ice weakness, 19' 2'', 197.18874, False, True, True, True
Night Soldier, 23, 29, 66, 38, 57, 16, 84, 27, 89, 44, 2368.54, Power hungry, Tehran, 0xc9a941, Greedy, 5' 9'', 205.33638, False, False, False, True
Professor Woman, 91, 41, 94, 73, 86, 77, 32, 26, 10, 91, 50.01, Determined, Tianjin, 0x9e2292, Darkness bound, 10' 4'', 88.16900, False, True, False, True
Incredible Entity, 36, 93, 76, 29, 61, 13, 72, 52, 3, 18, 57.00, Brave, Cape Town, 0x5e7fba, Magic vulnerable, 17' 9'', 282.55772, False, False, True, True
Rocket Skull, 39, 88, 54, 31, 96, 80, 88, 82, 63, 14, 69.57, Clever, Tokyo, 0xdb2f75, Lonely, 13' 8'', 252.47438, True, True, True, False
The Entity, 97, 48, 51, 5, 65, 14, 4, 80, 32, 80, 25.16, Brave, Melbourne, 0xa0b41b, Prideful, 8' 1'', 31.92420, False, True, True, True
Masked Void, 44, 74, 47, 95, 36, 31, 19, 9, 93, 35, 22.15, Compassionate, Chicago, 0x7f4a78, Fire weakness, 10' 3'', 201.73858, False, True, True, False
Ancient Cloak, 6, 85, 85, 68, 35, 3, 77, 94, 26, 6, 31.44, Manipulative, Jacksonville, 0xebc1ca, Technology vulnerable, 19' 0'', 203.67536, False, False, True, False
Mr Master, 94, 36, 11, 88, 43, 53, 76, 57, 34, 57, 48.12, Cruel, Melbourne, 0x55182c, Obsessive, 20' 1'', 86.59473, False, False, True, False
Night Void, 61, 11, 50, 91, 82, 74, 78, 62, 64, 6, 64.66, Sadistic, Kuala Lumpur, 0x8b6257, Fearful, 10' 4'', 275.75179, False, False, True, False
Night Hulk, 32, 80, 54, 43, 75, 45, 92, 44, 83, 50, 28.85, Cunning, Nairobi, 0xbb53ca, Poison susceptible, 1' 9'', 100.83935, True, False, True, False
Master Soldier, 45, 55, 31, 60, 91, 27, 29, 79, 73, 88, 55.24, Charismatic, Dongguan, 0x71c410, Magic vulnerable, 20' 9'', 137.41303, False, False, False, False
Metal Master, 17, 3, 4, 59, 2, 83, 56, 31, 96, 43, 52.90, Sarcastic, Yangon, 0xbeecc2, Paranoid, 11' 0'', 181.23691, False, True, False, True
Professor Daredevil, 71, 47, 51, 78, 28, 43, 13, 58, 14, 62, 40.04, Clever, Lima, 0xc44942, Guilt ridden, 14' 10'', 41.48829, False, False, False, False
The X, 75, 23, 46, 19, 73, 4, 99, 4, 51, 63, 24.02, Cruel, Paris, 0x38a704, Manipulable, 11' 11'', 139.99680, True, False, True, True
Silver Fist, 15, 90, 95, 49, 8, 59, 44, 63, 70, 32, 29.35, Calculating, Karachi, 0xe3ce05, Reckless, 6' 9'', 126.93389, True, True, False, False
Power Woman, 67, 43, 28, 3, 33, 74, 100, 60, 95, 79, 32.36, Reckless, Abidjan, 0xf44bc9, Naive, 4' 3'', 273.35085, True, False, True, True
Ms Warrior, 85, 31, 5, 54, 96, 71, 0, 67, 35, 71, 54.78, Loyal, Nairobi, 0x0214ad, Guilt ridden, 7' 5'', 191.24644, True, True, True, False
Ms X, 15, 52, 82, 4, 21, 15, 90, 81, 78, 4, 23.43, Brave, Shenzhen, 0x25b9d4, Manipulable, 4' 6'', 198.01706, False, False, False, True
Captain Knight, 74, 80, 67, 48, 81, 42, 32, 34, 19, 5, 20.10, Sadistic, Ho Chi Minh City, 0x812aa4, Power addicted, 14' 0'', 76.30168, True, True, True, True
Wonder Master, 8, 0, 81, 18, 3, 52, 5, 12, 6, 19, 27.12, Obsessive, Shenzhen, 0x7eb0d5, Overconfident, 11' 0'', 274.38877, True, True, True, False
Professor Cloak, 58, 59, 90, 31, 48, 2, 47, 6, 23, 18, 32.44, Sarcastic, New York City, 0x640e7e, Fearful, 15' 5'', 182.50349, False, True, True, True
Silver Machine, 66, 18, 60, 33, 24, 32, 15, 65, 86, 88, 41.00, Sadistic, Houston, 0x58fb9d, Stubborn, 13' 8'', 160.94544, False, True, False, False
Iron Claw, 94, 0, 96, 81, 14, 12, 39, 54, 26, 98, 18.00, Ruthless, Ankara, 0xf589fa, Egotistical, 9' 6'', 286.90561, True, False, True, True
Ancient Surfer, 50, 48, 29, 98, 66, 43, 46, 79, 96, 71, 48.25, Protective, Washington, 0xd01c22, Radiation weak, 1' 2'', 233.69774, True, True, True, True
Super Knight, 33, 9, 38, 32, 16, 63, 46, 49, 32, 60, 49.75, Obsessive, Phoenix, 0x66cb81, Water weakness, 5' 5'', 77.21093, True, True, False, False
Impossible Man, 78, 85, 0, 82, 1, 15, 45, 52, 38, 84, 33.00, Ruthless, Abidjan, 0x0d62ed, Sound sensitive, 7' 3'', 125.78970, False, False, False, False
Wonder Knight, 86, 62, 25, 44, 28, 42, 70, 34, 54, 45, 89.00, Determined, New York City, 0xc410ab, Magic vulnerable, 19' 11'', 151.75000, True, False, True, False
Impossible Fist, 24, 95, 12, 13, 10, 10, 5, 27, 31, 99, 36.67, Ruthless, Baghdad, 0x481769, Lonely, 5' 3'', 130.72362, False, False, False, True
Super Skull, 76, 42, 61, 12, 91, 45, 70, 13, 90, 78, 57.68, Protective, Nagoya, 0xc24ed4, Darkness bound, 12' 1'', 152.60257, False, True, False, True
Ms Master, 34, 95, 90, 80, 33, 32, 5, 61, 8, 41, 27.92, Vengeful, Mumbai, 0xc23252, Power addicted, 5' 5'', 286.18753, True, False, False, False
Impossible Void, 74, 47, 97, 26, 99, 58, 75, 18, 10, 2, 18.00, Sarcastic, Qingdao, 0x01ccd5, Naive, 13' 8'', 247.60676, True, False, False, False
Incredible Darkness, 23, 81, 88, 77, 50, 79, 65, 38, 17, 88, 8217.36, Calculating, Mexico City, 0xe619f2, Egotistical, 0' 5'', 144.25865, False, False, False, False
Master Woman, 13, 1, 30, 73, 30, 29, 49, 11, 3, 95, 41.70, Loyal, Baghdad, 0xb04edb, Naive, 19' 2'', 265.64817, False, True, True, False
Master Hornet, 15, 75, 97, 78, 44, 6, 81, 37, 0, 61, 28.39, Arrogant, Wuhan, 0xf6392b, Hubris, 10' 1'', 210.04853, True, False, False, True
Green Skull, 57, 91, 72, 76, 28, 12, 49, 21, 45, 81, 48.10, Calculating, Jacksonville, 0xb4fe40, Hubris, 9' 1'', 210.01955, True, True, False, False
Rocket Knight, 78, 92, 33, 51, 29, 24, 4, 19, 14, 93, 53.16, Arrogant, Toronto, 0x047ffc, Hubris, 8' 4'', 289.62274, False, False, False, False
Crimson Torch, 40, 95, 33, 18, 21, 49, 32, 44, 66, 23, 50.70, Determined, Hyderabad, 0x4a5b87, Energy drain, 13' 1'', 278.23705, True, True, True, True
The Torch, 41, 6, 87, 34, 21, 0, 34, 40, 7, 49, 22.22, Brave, Zhengzhou, 0x166271, Paranoid, 15' 10'', 92.50624, True, False, True, False
Crimson Shadow, 72, 78, 78, 93, 79, 37, 78, 37, 32, 24, 33.41, Sarcastic, Luanda, 0xac6126, Short sighted, 14' 6'', 198.11436, True, False, True, False
Silver Girl, 3, 55, 72, 84, 13, 43, 21, 4, 19, 5, 34.97, Sarcastic, Beijing, 0x1d77cc, Reckless, 9' 9'', 4.74931, False, False, True, False
Silver Ghost, 86, 44, 40, 67, 89, 38, 40, 73, 0, 65, 43.80, Loyal, Singapore, 0xb41fcb, Vengeful, 10' 3'', 117.65863, True, False, True, True
Night Entity, 15, 4, 30, 90, 76, 32, 86, 1, 40, 99, 49.49, Cruel, Lima, 0x7e1d9f, Light sensitive, 2' 5'', 193.52331, True, True, True, True
Mr Entity, 59, 50, 57, 64, 4, 7, 90, 27, 5, 27, 37.70, Charismatic, Shenzhen, 0xd3745e, Light sensitive, 9' 11'', 59.70577, False, True, False, True
Crimson Boy, 8, 26, 84, 87, 34, 16, 9, 28, 23, 40, 47.55, Sarcastic, Nairobi, 0x1c5cfa, Vengeful, 16' 8'', 26.29679, True, True, True, False
Impossible Surfer, 94, 57, 65, 98, 29, 48, 60, 94, 25, 32, 19.21, Cunning, Abidjan, 0x5803fe, Egotistical, 18' 0'', 231.59976, False, True, True, True
Professor Lightning, 81, 46, 15, 3, 16, 60, 16, 61, 18, 2, 50.86, Obsessive, Suzhou, 0xe67832, Water weakness, 9' 10'', 181.31462, False, False, False, True
Spider Crusader, 28, 3, 24, 33, 50, 53, 42, 60, 18, 46, 20.21, Sadistic, Manila, 0x097fef, Stubborn, 15' 1'', 199.71309, True, False, True, False
Crimson Ghost, 18, 74, 16, 47, 37, 91, 80, 81, 78, 97, 35.30, Manipulative, Bangalore, 0xbbb4f2, Water weakness, 9' 8'', 158.37772, True, True, False, False
Master Cloak, 69, 100, 44, 77, 72, 43, 88, 3, 89, 7, 19.15, Arrogant, Cape Town, 0x842f73, Silver weakness, 11' 5'', 276.68671, False, True, True, True
Professor Surfer, 49, 7, 27, 54, 88, 2, 25, 60, 42, 58, 24.43, Honorable, Seoul, 0xfaee6d, Trusting, 9' 4'', 54.90075, True, False, True, False
Dark Crusader, 22, 43, 65, 24, 74, 33, 91, 53, 74, 87, 47.25, Protective, Kolkata, 0xf07fb1, Energy drain, 0' 2'', 138.30091, True, True, True, False
Mr Torch, 8, 16, 70, 97, 47, 20, 31, 81, 58, 39, 40.59, Cold blooded, Dalian, 0xd2c22d, Overconfident, 15' 4'', 83.42248, False, False, True, True
Mr Soldier, 11, 26, 14, 6, 35, 34, 44, 78, 97, 76, 39.71, Brave, Addis Ababa, 0xfcd67d, Obsessive, 7' 7'', 45.27436, True, True, True, False
Ms Skull, 47, 45, 60, 100, 22, 92, 16, 47, 65, 40, 38.27, Power hungry, Kano, 0xdf6355, Magic vulnerable, 7' 8'', 55.87439, True, False, True, False
Rocket Boy, 94, 69, 6, 78, 84, 15, 91, 85, 10, 21, 32.91, Sarcastic, Riyadh, 0x5a2534, Hubris, 9' 1'', 82.78755, False, False, True, True
Dark Surfer, 84, 79, 1, 10, 41, 88, 81, 55, 93, 80, 38.20, Determined, Houston, 0xec6593, Naive, 18' 8'', 79.20315, False, False, False, True
